('nr', 'nr', 'a'),4
('b', 'n', 'nr'),4
('a', 'nrfg', 'v'),4
('n', 'n', 'p'),4
('m', 'n', 'c'),4
('ns', 'm', 'a'),3
('m', 't', 'a'),3
('l', 'v', 's'),3
('z', 'd', 'n'),3
('m', 'v', 'c'),3
('v', 'c', 'm'),3
('f', 'z', 'd'),3
('z', 'd', 'v'),3
('nz', 'v', 'm'),3
('nr', 'd', 'f'),3
('m', 'ns', 'm'),3
('nz', 'n', 'f'),3
('nz', 'n', 'nr'),3
('ns', 's', 'v'),3
('v', 'i', 'ns'),3
('v', 'u', 'v'),3
('i', 't', 'n'),3
('a', 'm', 's'),3
('l', 'nr', 'd'),3
('b', 'n', 'm'),3
('m', 'b', 'n'),3
('m', 'vn', 'n'),3
('vn', 'n', 't'),3
('v', 's', 'i'),3
('a', 'n', 'zg'),3
